;Исполнитель;Группа тем;Текст инцидента;Тема;lemm
0;Лысьвенский городской округ;Благоустройство;'Добрый день. Сегодня, 20.08.22, моя мать шла по улице Ленина между домами 96 и 94. Фонари не горят, упала в яму, которую не видно. Сильно ударилась, остались синяки, очень больно. Благо шла не одна.<br>Уважаемая Администрация, сделайте с этим что-нибудь, да и не только с этим. Ходить опасно не только взрослым, но и детям. Если бы упал маленький ребёнок, было бы намного хуже. Фото прилагаю. Спасибо!;★ Ямы во дворах;'добрый день. сегодня, 20.08.22, мой мать идти по улица ленин между дом 96 и 94. фонарь не горят, упасть в яму, который не видно. сильно ударилась, остаться синяки, очень больно. благо идти не одна.<br>уважать администрация, сделать с это что-нибудь, да и не только с этим. ходить опасный не только взрослым, но и детям. если бы упасть маленький ребёнок, быть бы намного хуже. фото прилагаю. спасибо!
1;Министерство социального развития ПК;Социальное обслуживание и защита;'Пермь г, +79194692145. В Перми с ноября 2021 года не работает социальное такси. Каким образом можно получить льготу по проезду в такси в соц учреждения инвалиду 2гр.пррезд в общественном транспорте не возможен. Да и проездного льготного не представляется;Оказание гос. соц. помощи;'пермь г, +79194692145. в пермь с ноябрь 2021 год не работать социальный такси. какой образ можно получить льгота по проезд в такси в соц учреждение инвалид 2гр.проезд в общественный транспорт не возможен. да и проездной льготный не представляться
2;Министерство социального развития ПК;Социальное обслуживание и защита;'Добрый день ! Скажите пожалуйста если подовала на пособие с 3 до 7 2 декабря , когда можно повторно подать ? вроде за 30 дней можно;Дети и многодетные семьи;'добрый день ! сказать пожалуйста если подвал на пособие с 3 до 7 2 декабрь , когда можно повторно подать ? вроде за 30 день можно
3;Город Пермь;Общественный транспорт;'Каждая из них не о чем. Люди на остановках хотят укрыться от непогоды или слишком погоды. Присесть, поставить сумку. Лавочки на полторы попы? Отсутствие или намек на присутствие спинки? Конструкторы, понятно, что не ждут транспорт на остановках. А гаджеты заряжать дома надо. Интерактивные панели и близко не нужны. У каждого в руках телефоны- информации вагон. Разместить коды для быстрого доступа на ресурсы и сайты по транспорту хватит.;Содержание остановок;'каждая из они не о чем. человек на остановка хотеть укрыться от непогода или слишком погоды. присесть, поставить сумку. лавочка на полтора попы? отсутствие или намёк на присутствие спинки? конструкторы, понятно, что не ждать транспорт на остановках. а гаджет заряжать дом надо. интерактивный панель и близко не нужны. у каждый в рука телефоны- информация вагон. разместить код для быстрый доступ на ресурс и сайт по транспорт хватит.
4;Министерство здравоохранения;Здравоохранение/Медицина;'В Березниках у сына привитого откоронавируса заболел пытались попасть на прием очередь в замкнутом пространстве бесподобна прямое вредителбское отношение к людям он не смог попасть на прием что делать на работу с т - ой 37.8 не пускают и на прием не попасть .что вы мин здрав ДЕЛАЕТЕ ?;Технические проблемы с записью на прием к врачу;'в березники у сын привить коронавирус заболеть пытаться попасть на приём очередь в замкнутый пространство бесподобный прямой вредительский отношение к человек он не смочь попасть на приём что делать на работа с том - ой 37.8 не пускать и на приём не попасть .что вы мина здравый делать ?
5;АО ПРО ТКО;Мусор/Свалки/ТКО;'Добрый день!подскажите тариф повысился на обращение с тко?;Плата за вывоз ТКО;'добрый день!подсказать тариф повыситься на обращение с тко?
6;Министерство образования;Образование;'Здравствуйте, уточните в какую погоду дети начальной школы должны заниматься весной и осенью на улице ? Какие ограничения по температурному режиму и погодным условиям ?;Образовательный процесс;'здравствуйте, уточнить в какой погода ребёнок начальный школа должный заниматься весной и осень на улица ? какой ограничение по температурный режим и погодный условие ?
7;Министерство здравоохранения;Здравоохранение/Медицина;'Пермский р-н, +79519290579. Диспансеризация;Диспансеризация;'пермский р-н, +79519290579. диспансеризация
8;Министерство здравоохранения;Здравоохранение/Медицина;'Здравствуйте, скажите пожалуйста сколько времени занимает подпись документов на операцию в г Лысьва?В понедельник были переданы документы на подпись на операцию в г Перми сегодня четверг документы до сих пор не пришли. Операция была назначена на 13 сентября.Из Москвы посылка пришла быстрее.;★ Просьбы о лечении;'здравствуйте, сказать пожалуйста сколько время занимать подпись документ на операция в год льва?ть понедельник быть передать документ на подпись на операция в год пермь сегодня четверг документ до сей пора не пришли. операция быть назначить на 13 сентября.из москва посылка пришлый быстрее.
9;ИГЖН ПК;Дороги;"'Хотел узнать в Чайковской ""управляйке"" по телефону 7-49-17, когда же почистят ВСЮ дорогу вдоль дома 5 по улице Шлюзовой. За всю зиму чистили дорогу только раз. Но для ""точечной"" чистки трактор приезжал неоднократно. Если трактор приезжал убирать снег к дому,значит мог бы почистить и ВСЮ улицу? По указанному телефону не дозвониться. Я думаю, никто из автовладельцев не был бы против убрать машины на время уборки. Но! Вместо того, чтобы приезжающий трактор почистил ВСЮ проезжую часть, он чистит ""точечно"".<br>[id481705927|Борис Антонов]";★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи;"'хотеть узнать в чайковский ""управляйте"" по телефон 7-49-17, когда же почистить весь дорога вдоль дом 5 по улица шлюзовой. за весь зима чистить дорога только раз. но для ""точечной"" чистка трактор приезжать неоднократно. если трактор приезжать убирать снег к дому,значить мочь бы почистить и весь улицу? по указанный телефон не дозвониться. я думаю, никто из автовладелец не быть бы против убрать машина на время уборки. но! вместо того, чтобы приезжать трактор почистить весь проезжий часть, он чистить ""точечно"".<br>[id481705927|борис антонов]"
